Date,Portfolio,Return,"Rolling VaR (95%, 252D)","Rolling ES (95%, 252D)",VaR Breach,Loss Exceeds ES
2025-10-14,Equal Weighted Portfolio,-0.010979346827796178,0.029220149598736977,0.03939895143869357,False,False
2025-10-15,Equal Weighted Portfolio,0.004717080431998944,0.029220149598736977,0.03939895143869357,False,False
2025-10-16,Equal Weighted Portfolio,-0.0009083674905669303,0.029220149598736977,0.03939895143869357,False,False
2025-10-17,Equal Weighted Portfolio,0.006416161870174219,0.029220149598736977,0.03939895143869357,False,False
2025-10-20,Equal Weighted Portfolio,0.014279508997379332,0.029220149598736977,0.03939895143869357,False,False
2025-10-21,Equal Weighted Portfolio,-0.00017214896128572247,0.029220149598736977,0.03939895143869357,False,False
2025-10-22,Equal Weighted Portfolio,-0.005875095412727416,0.029220149598736977,0.03939895143869357,False,False
2025-10-23,Equal Weighted Portfolio,0.006799522442186446,0.029220149598736977,0.03939895143869357,False,False
2025-10-24,Equal Weighted Portfolio,0.016336328452201253,0.029220149598736977,0.03939895143869357,False,False
2025-10-27,Equal Weighted Portfolio,0.022889367044497223,0.029220149598736977,0.03939895143869357,False,False
2025-10-28,Equal Weighted Portfolio,0.014972724068698163,0.029220149598736977,0.03939895143869357,False,False
2025-10-29,Equal Weighted Portfolio,0.01224563376474992,0.029220149598736977,0.03939895143869357,False,False
2025-10-30,Equal Weighted Portfolio,-0.010149264848972075,0.029220149598736977,0.03939895143869357,False,False
2025-10-31,Equal Weighted Portfolio,0.014934713899006049,0.029220149598736977,0.03939895143869357,False,False
2025-11-03,Equal Weighted Portfolio,0.012699745270507701,0.029220149598736977,0.03939895143869357,False,False
2025-11-04,Equal Weighted Portfolio,-0.016176958823920583,0.029220149598736977,0.03939895143869357,False,False
2025-11-05,Equal Weighted Portfolio,-0.0006991561368633766,0.0276965161187303,0.038831966302064765,False,False
2025-11-06,Equal Weighted Portfolio,-0.01685510979299034,0.0276965161187303,0.038831966302064765,False,False
2025-11-07,Equal Weighted Portfolio,-0.0038277791292188335,0.0276965161187303,0.038831966302064765,False,False
2025-11-10,Equal Weighted Portfolio,0.027243619629150295,0.0276965161187303,0.038831966302064765,False,False
2025-11-11,Equal Weighted Portfolio,0.0008165256587237435,0.0276965161187303,0.038831966302064765,False,False
2025-11-12,Equal Weighted Portfolio,-0.006552305328593544,0.0276965161187303,0.038831966302064765,False,False
2025-11-13,Equal Weighted Portfolio,-0.021817995093902254,0.0276965161187303,0.038831966302064765,False,False
2025-11-14,Equal Weighted Portfolio,0.0019188418276591124,0.0276965161187303,0.038831966302064765,False,False
2025-11-17,Equal Weighted Portfolio,-0.003770026228994161,0.0276965161187303,0.038831966302064765,False,False
2025-11-18,Equal Weighted Portfolio,-0.02034184404070003,0.0276965161187303,0.038831966302064765,False,False
2025-11-19,Equal Weighted Portfolio,0.00958806244861996,0.0276965161187303,0.038831966302064765,False,False
2025-11-20,Equal Weighted Portfolio,-0.018264693677576972,0.027636504801814545,0.038831966302064765,False,False
2025-11-21,Equal Weighted Portfolio,0.009288908188472634,0.027636504801814545,0.038831966302064765,False,False
2025-11-24,Equal Weighted Portfolio,0.025790496028760847,0.027636504801814545,0.038831966302064765,False,False
2025-11-25,Equal Weighted Portfolio,0.0030835508681170687,0.027636504801814545,0.038831966302064765,False,False
2025-11-26,Equal Weighted Portfolio,0.004210886356829469,0.027636504801814545,0.038831966302064765,False,False
2025-11-28,Equal Weighted Portfolio,0.00344502095219621,0.027636504801814545,0.038831966302064765,False,False
2025-12-01,Equal Weighted Portfolio,0.0016475890257511504,0.027636504801814545,0.038831966302064765,False,False
2025-12-02,Equal Weighted Portfolio,0.00626735951391737,0.027636504801814545,0.038831966302064765,False,False
2025-12-03,Equal Weighted Portfolio,-0.00732410202037026,0.027636504801814545,0.038831966302064765,False,False
2025-12-04,Equal Weighted Portfolio,-0.0010996049539317323,0.027636504801814545,0.038831966302064765,False,False
2025-12-05,Equal Weighted Portfolio,0.0012298542807501756,0.027636504801814545,0.038831966302064765,False,False
2025-12-08,Equal Weighted Portfolio,-0.000859074331827436,0.027636504801814545,0.038831966302064765,False,False
2025-12-09,Equal Weighted Portfolio,0.0022779741128400085,0.027636504801814545,0.038831966302064765,False,False
2025-12-10,Equal Weighted Portfolio,-0.00017076672627993608,0.027636504801814545,0.038831966302064765,False,False
2025-12-11,Equal Weighted Portfolio,-0.007430213921337603,0.027636504801814545,0.038831966302064765,False,False
2025-12-12,Equal Weighted Portfolio,-0.013976248878144417,0.027636504801814545,0.038831966302064765,False,False
2025-12-15,Equal Weighted Portfolio,-0.007096590364428935,0.027636504801814545,0.038831966302064765,False,False
2025-12-16,Equal Weighted Portfolio,0.0016383963444413397,0.027636504801814545,0.038831966302064765,False,False
2025-12-17,Equal Weighted Portfolio,-0.017204719384720214,0.027636504801814545,0.038831966302064765,False,False
2025-12-18,Equal Weighted Portfolio,0.016083490192505503,0.027636504801814545,0.038831966302064765,False,False
2025-12-19,Equal Weighted Portfolio,0.013476788828219146,0.027636504801814545,0.038831966302064765,False,False
2025-12-22,Equal Weighted Portfolio,0.0033116078594671583,0.027636504801814545,0.038831966302064765,False,False
2025-12-23,Equal Weighted Portfolio,0.013874826754083936,0.02504233921921347,0.03858210388501426,False,False
2025-12-24,Equal Weighted Portfolio,0.0011116065874578807,0.02504233921921347,0.03858210388501426,False,False
2025-12-26,Equal Weighted Portfolio,0.0012800875554184635,0.02504233921921347,0.03858210388501426,False,False
2025-12-29,Equal Weighted Portfolio,-0.0031605858233568766,0.02504233921921347,0.03858210388501426,False,False
2025-12-30,Equal Weighted Portfolio,-0.0005651716047408772,0.02504233921921347,0.03858210388501426,False,False
2025-12-31,Equal Weighted Portfolio,-0.005533887094613022,0.02504233921921347,0.03858210388501426,False,False
2026-01-02,Equal Weighted Portfolio,-0.0052962794528572665,0.02504233921921347,0.03858210388501426,False,False
2026-01-05,Equal Weighted Portfolio,0.0034824521868427774,0.02504233921921347,0.03858210388501426,False,False
2026-01-06,Equal Weighted Portfolio,0.002799321948419786,0.02504233921921347,0.03858210388501426,False,False
2026-01-07,Equal Weighted Portfolio,0.008056334388843744,0.02504233921921347,0.03858210388501426,False,False
2026-01-08,Equal Weighted Portfolio,-0.0013758764902551896,0.02504233921921347,0.03858210388501426,False,False
2026-01-09,Equal Weighted Portfolio,0.0033549974990776388,0.02504233921921347,0.03858210388501426,False,False
