Date,Portfolio,Return,"Rolling VaR (95%, 252D)","Rolling ES (95%, 252D)",VaR Breach,Loss Exceeds ES,Model
2025-04-07,Equal Weighted Portfolio,0.0056274634215323,0.0306532923781953,0.0402976528029603,False,False,Historical VaR
2025-04-07,Equal Weighted Portfolio,0.0056274634215323,0.041341146980861,0.056293415017842,False,False,EWMA-t
2025-04-07,Equal Weighted Portfolio,0.0056274634215323,0.0497389302582343,0.0706242162912652,False,False,GARCH-t
2025-04-08,Equal Weighted Portfolio,-0.0233667499129611,0.0306532923781953,0.0402976528029603,False,False,Historical VaR
2025-04-08,Equal Weighted Portfolio,-0.0233667499129611,0.0401427738159306,0.0546616141887334,False,False,EWMA-t
2025-04-08,Equal Weighted Portfolio,-0.0233667499129611,0.0463364308456101,0.0658524851209149,False,False,GARCH-t
2025-04-09,Equal Weighted Portfolio,0.1320817283557626,0.0306532923781953,0.0402976528029603,False,False,Historical VaR
2025-04-09,Equal Weighted Portfolio,0.1320817283557626,0.0399898925101376,0.0544534387648764,False,False,EWMA-t
2025-04-09,Equal Weighted Portfolio,0.1320817283557626,0.0453099359004588,0.0644129087001778,False,False,GARCH-t
2025-04-10,Equal Weighted Portfolio,-0.0423913307169832,0.0306532923781953,0.0402976528029603,True,True,Historical VaR
2025-04-10,Equal Weighted Portfolio,-0.0423913307169832,0.0648156931674793,0.0882582362031512,False,False,EWMA-t
2025-04-10,Equal Weighted Portfolio,-0.0423913307169832,0.0825603311822497,0.1166535855433519,False,False,GARCH-t
2025-04-11,Equal Weighted Portfolio,0.0273055042974087,0.0316218795347126,0.0411707455129106,False,False,Historical VaR
2025-04-11,Equal Weighted Portfolio,0.0273055042974087,0.0650146647234099,0.0885291718010419,False,False,EWMA-t
2025-04-11,Equal Weighted Portfolio,0.0273055042974087,0.080579520050317,0.1138756575925781,False,False,GARCH-t
2025-04-14,Equal Weighted Portfolio,0.0033068518638537,0.0316218795347126,0.0411707455129106,False,False,Historical VaR
